Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G30,G30C2,14.338,8.193893364848806e-05,-0.018174207753182015,0.7596903329303802,-1.0324809480136374,0.28468496
G30,G30C3,18.538,6.28374699344529e-05,-0.01624564294883102,0.8663160950301142,-0.9153341609740377,0.283053457777778
G30,G30C4,10.11,9.969188478057056e-05,-0.01892179767220281,0.6644415490139118,-1.073524361345617,0.281902791111111
G31,G31C1,14.666,9.556103184996848e-05,-0.022004994639062525,0.7563921929300533,-1.0721996721525209,0.283332622222222
G31,G31C2,10.727,7.786692507531555e-05,-0.01884369848550621,0.8826431616597404,-0.8990012084584094,0.285080906666667
G31,G31C3,11.886,9.76939748470867e-05,-0.022326870875047422,0.7705572058142484,-1.0249590404145519,0.282173671111111
G31,G31C4,10.035,7.618657114340424e-05,-0.018520859516600152,0.9162374963188,-0.8620367934139654,0.283873617777778
G32,G32C1,20.376,5.481467015618796e-05,-0.015284099592011269,0.6843811541524234,-1.0054968415098158,0.283040284444444
G32,G32C2,16.846,7.85594228977686e-05,-0.019045649807181098,0.540215033496884,-1.1917024937150382,0.284031662222222
G32,G32C3,18.506,6.697604920162065e-05,-0.017302846992794718,0.6160326230343098,-1.0712152843097789,0.286685795555556
G32,G32C4,19.144,7.252379302069598e-05,-0.018100202105949925,0.5405719971311536,-1.1652987869394018,0.283544444444444
G33,G33C1,19.513,0.00010283135835923487,-0.02205258940262428,0.4923216364869611,-1.2404095330994998,0.284123093333333
G33,G33C2,16.711,0.0001144698194590957,-0.02357544419778368,0.39646245442329237,-1.3610752819041232,0.284196995555556
G33,G33C4,17.076,7.276245586960983e-05,-0.017468887613487527,0.7030302879299832,-1.0156007189530671,0.287311164444444
G34,G34C1,23.062,8.579741144895427e-05,-0.019361863241001753,0.4084296782801255,-1.3007286366224886,0.282297404444444
G34,G34C3,19.41,0.00010941609163314576,-0.022874920617725725,0.19977227988413687,-1.5235929019696022,0.283793137777778
G34,G34C4,21.737,0.00010422509966103482,-0.02163341739495578,0.2869562076057712,-1.4283144993991148,0.283909831111111
G44,G44C1,13.795,5.2633773593735886e-05,-0.014047562621287812,0.6518536623115839,-0.9825255271338325,0.283082595555556
G44,G44C2,20.602,4.913977798698787e-05,-0.013344647811175392,0.7727933278264466,-0.8157510208187415,0.283758364444444
G44,G44C4,23.409,6.000415412717419e-05,-0.014689210902603111,0.6533816479123384,-0.9584249038608013,0.282432675555556
G45,G45C1,8.58,0.00013975934715741663,-0.027432307947642676,0.6151939010504917,-1.2344629449721207,0.281208071111111
G45,G45C2,7.342,0.000159925715606208,-0.028498378275596814,0.6209358615026672,-1.1955758523009383,0.284418097777778
G45,G45C3,8.175,8.876085300191086e-05,-0.019582712355112497,0.8746678138394763,-0.878972722298585,0.283375413333333
G45,G45C4,9.65,0.00013791027819631368,-0.025221376573731413,0.6391381908763737,-1.1642521939271013,0.284168906666667
G46,G46C1,9.861,0.00012684035797245,-0.024301047463068715,0.6953943572627934,-1.1029678441302402,0.284762062222222
G46,G46C2,9.939,0.00012812113319898456,-0.02534437438621351,0.7164076483638967,-1.0843060453841087,0.282240568888889
G46,G46C3,6.468,0.00014398873445431698,-0.025270427109660182,0.630069748391151,-1.1734359230744953,0.281786026666667
G46,G46C4,9.08,0.00013582878069135594,-0.026399616949101506,0.6840277600795426,-1.119243812632615,0.284471591111111
G47,G47C1,9.396,0.0002218228683898679,-0.03496931227279548,0.35829837515154284,-1.427639160904304,0.278143075555556
G47,G47C2,15.477,0.0001416911061582179,-0.027295088869460082,0.5715442522058444,-1.2073426660748994,0.283952782222222
G47,G47C3,12.244,0.00010036752971501619,-0.022749980739947107,0.7395738301685507,-1.0394119586803823,0.286001173333333
G47,G47C4,10.114,0.00013254538940683815,-0.025424464177413897,0.6020434415200885,-1.1708466212434938,0.283388284444444
G48,G48C1,9.804,0.0002056472424946734,-0.033884806512143706,0.5385471317136346,-1.2535147265448279,0.283717155555556
G48,G48C2,8.654,0.00012404421086169995,-0.027749660036324925,0.6666974927542894,-1.1637820254663997,0.283483306666667
G48,G48C3,12.004,0.00014232043523147375,-0.02799999685986479,0.7039847681386643,-1.0981965199731263,0.283817173333333
G48,G48C4,8.196,0.0002468934740624023,-0.037096339462473815,0.4228003465824363,-1.366924488798057,0.279141368888889
G50,G50C1,24.144,5.093493619097233e-05,-0.01411137202425905,0.37971682228423753,-1.319617725645569,0.283931928888889
G50,G50C2,17.387,8.765516778415179e-05,-0.019796975194978916,0.163264282609712,-1.5609546604397577,0.285394453333333
G51,G51C1,11.288,0.0001568732193584455,-0.03229572861256799,0.5939122217189502,-1.2385318727377443,0.283621671111111
G51,G51C2,13.211,0.00010588710737683321,-0.024821846966325334,0.5882051123286327,-1.2164630993982812,0.28295344
G51,G51C3,10.717,0.0001221140504802617,-0.02570584076153859,0.7127240317819741,-1.0933616274200237,0.284716462222222
G51,G51C4,11.985,0.00010180156917522458,-0.023058165739122588,0.7748490528572027,-1.0159372126859538,0.282242204444444
G60,G60C1,12.952,9.461738192071395e-05,-0.019583726606272,0.7547274847870266,-0.9913689551601177,0.283652942222222
G60,G60C2,11.331,8.859574933341844e-05,-0.02206856186375858,0.7377237811064267,-1.1556613415771995,0.282105564444444
G60,G60C3,8.524,0.000123259996133,-0.02269242329033877,0.5908997616397836,-1.1831101406789046,0.280392604444444
G60,G60C4,9.861,9.548474921923533e-05,-0.020914660241858618,0.724501714237112,-1.0914800706948582,0.28407232
G61,G61C2,13.943,0.00014511635692997964,-0.026895108859800565,0.5936755967942662,-1.1888132716746291,0.2833599444444444
G61,G61C3,8.32,0.00012518102063172209,-0.02660994539553241,0.6781497314357267,-1.1590328968037253,0.2801603055555555
G61,G61C4,12.739,0.000234597292031405,-0.03312696706673682,0.3717828613263936,-1.3847348901467549,0.2799138611111111
G62,G62C1,15.05,0.00018448793135333725,-0.03178863164901358,0.5105910027017162,-1.3003386849825862,0.2795321111111111
G62,G62C2,11.719,0.000176480976825204,-0.02865262609343261,0.567718283871677,-1.2069595445795378,0.2841039444444444
G62,G62C3,11.633,0.0001891369341467145,-0.031241487321950312,0.5111091780445357,-1.293054278078888,0.2798888055555555
G62,G62C4,7.766,0.0001191829049574944,-0.026527631453578976,0.8024821827928906,-1.0325726802754545,0.2845289444444444
G63,G63C1,7.416,0.0002705953717805785,-0.04131089008092001,0.3767817601146583,-1.451144735786338,0.2820839444444444
G63,G63C2,7.406,0.0002792451384440524,-0.04377554287514179,0.44079902876041255,-1.3949126805155694,0.2824694444444444
G63,G63C3,10.888,0.00027960218371352226,-0.0387223260335518,0.3772321861121975,-1.4255650683263819,0.284275
G63,G63C4,14.758,0.00021800801781578626,-0.03336508260157062,0.4306234414599788,-1.3791301422093933,0.2835111111111111
G64,G64C1,7.571,9.738338064361062e-05,-0.02343998382329371,0.7353405955323489,-1.0960940152263008,0.2835180277777778
G64,G64C2,6.362,0.00010799981598812437,-0.02527897249075209,0.717180613169254,-1.136804974919462,0.2796597222222222
G64,G64C3,8.818,0.00017625784469579227,-0.03116230372944112,0.4981047091068535,-1.3514758050639168,0.2814652777777777
G64,G64C4,9.903,0.00020368316033166867,-0.03277986618745421,0.40526311042508045,-1.4083206440097042,0.2820145
